"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cardiac muscle cell proliferation","2","52","28","19512","7.07e-2","5.89e-1","26.80","1.00e+0","5.72e-1","2.52e-3","MYH10,SAV1"
"GOTERM_BP_DIRECT","cortical actin cytoskeleton organization","2","52","28","19512","7.07e-2","5.89e-1","26.80","1.00e+0","5.72e-1","2.52e-3","ROCK1,TLN1"
"GOTERM_BP_DIRECT","anatomical structure morphogenesis","3","52","170","19512","7.29e-2","5.89e-1","6.62","1.00e+0","5.72e-1","1.05e-2","COL18A1,KRT18,COL6A1"
"GOTERM_BP_DIRECT","basement membrane organization","2","52","29","19512","7.31e-2","5.89e-1","25.88","1.00e+0","5.72e-1","2.70e-3","COL6A1,DAG1"
"GOTERM_BP_DIRECT","protein tetramerization","2","52","29","19512","7.31e-2","5.89e-1","25.88","1.00e+0","5.72e-1","2.70e-3","COL6A1,TRPM7"
"GOTERM_BP_DIRECT","receptor clustering","2","52","29","19512","7.31e-2","5.89e-1","25.88","1.00e+0","5.72e-1","2.70e-3","FLNA,AGRN"
"GOTERM_BP_DIRECT","response to steroid hormone","2","52","30","19512","7.56e-2","5.96e-1","25.02","1.00e+0","5.80e-1","2.89e-3","COL1A1,IGFBP2"
"GOTERM_BP_DIRECT","response to muscle activity","2","52","30","19512","7.56e-2","5.96e-1","25.02","1.00e+0","5.80e-1","2.89e-3","COL6A1,DAG1"
"GOTERM_BP_DIRECT","response to progesterone","2","52","31","19512","7.80e-2","5.97e-1","24.21","1.00e+0","5.81e-1","3.08e-3","YAP1,DSG2"
"GOTERM_BP_DIRECT","positive regulation of focal adhesion assembly","2","52","31","19512","7.80e-2","5.97e-1","24.21","1.00e+0","5.81e-1","3.08e-3","SDC4,ROCK1"
"GOTERM_BP_DIRECT","regulation of transport","2","52","31","19512","7.80e-2","5.97e-1","24.21","1.00e+0","5.81e-1","3.08e-3","CDH3,CDH1"
"GOTERM_BP_DIRECT","endochondral ossification","2","52","32","19512","8.04e-2","6.10e-1","23.45","1.00e+0","5.93e-1","3.28e-3","COL1A1,MMP16"
"GOTERM_BP_DIRECT","protein localization to cell surface","2","52","33","19512","8.28e-2","6.22e-1","22.74","1.00e+0","6.05e-1","3.49e-3","FLNA,VCL"
"GOTERM_BP_DIRECT","plasma membrane repair","2","52","34","19512","8.52e-2","6.28e-1","22.07","1.00e+0","6.11e-1","3.70e-3","MYH9,MYH10"
"GOTERM_BP_DIRECT","regulation of microtubule cytoskeleton organization","2","52","34","19512","8.52e-2","6.28e-1","22.07","1.00e+0","6.11e-1","3.70e-3","ROCK1,RHOA"
"GOTERM_BP_DIRECT","odontogenesis","2","52","36","19512","9.00e-2","6.56e-1","20.85","1.00e+0","6.38e-1","4.14e-3","COL1A2,RHOA"
"GOTERM_BP_DIRECT","negative regulation of cell migration","3","52","193","19512","9.06e-2","6.56e-1","5.83","1.00e+0","6.38e-1","1.48e-2","CDH1,DAG1,VCL"
"GOTERM_BP_DIRECT","endodermal cell differentiation","2","52","37","19512","9.24e-2","6.63e-1","20.28","1.00e+0","6.44e-1","4.37e-3","COL6A1,MYH9"
"GOTERM_BP_DIRECT","axon guidance","3","52","198","19512","9.46e-2","6.68e-1","5.69","1.00e+0","6.49e-1","1.58e-2","DAG1,LAMC1,MYH10"
"GOTERM_BP_DIRECT","regulation of canonical Wnt signaling pathway","2","52","38","19512","9.48e-2","6.68e-1","19.75","1.00e+0","6.49e-1","4.61e-3","YAP1,EMD"
"GOTERM_BP_DIRECT","regulation of cell population proliferation","3","52","204","19512","9.95e-2","6.95e-1","5.52","1.00e+0","6.75e-1","1.71e-2","YAP1,COL18A1,SAV1"

