"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","actomyosin","2","53","11","20808","2.72e-2","1.26e-1","71.38","9.98e-1","1.04e-1","3.45e-4","MYH9,MYH10"
"GOTERM_CC_DIRECT","cytosol","22","53","5677","20808","2.77e-2","1.26e-1","1.52","9.98e-1","1.04e-1","1.75e-2","YAP1,DYNC1H1,ROCK1,DCTN1,PXN,HMMR,RHOA,ACTB,SAV1,CRKL,KRT19,KRT18,C1QBP,DAG1,ZYX,FLNA,MYH9,FLNB,TLN1,MYH10,EMD,VCL"
"GOTERM_CC_DIRECT","synapse","7","53","1001","20808","3.78e-2","1.68e-1","2.75","1.00e+0","1.39e-1","1.31e-2","DAG1,TLN2,GPC4,HAPLN3,AGRN,ACTB,CRKL"
"GOTERM_CC_DIRECT","dystrophin-associated glycoprotein complex","2","53","16","20808","3.93e-2","1.71e-1","49.08","1.00e+0","1.42e-1","7.47e-4","KRT19,DAG1"
"GOTERM_CC_DIRECT","Z disc","3","53","137","20808","4.61e-2","1.97e-1","8.60","1.00e+0","1.63e-1","5.14e-3","KRT19,FLNA,FLNB"
"GOTERM_CC_DIRECT","myosin filament","2","53","23","20808","5.60e-2","2.35e-1","34.14","1.00e+0","1.95e-1","1.56e-3","MYH9,MYH10"
"GOTERM_CC_DIRECT","myosin II complex","2","53","25","20808","6.07e-2","2.50e-1","31.41","1.00e+0","2.07e-1","1.84e-3","MYH9,MYH10"
"GOTERM_CC_DIRECT","synaptic cleft","2","53","27","20808","6.54e-2","2.65e-1","29.08","1.00e+0","2.19e-1","2.14e-3","LAMA5,LAMC1"
"GOTERM_CC_DIRECT","neuronal cell body","4","53","378","20808","6.85e-2","2.73e-1","4.15","1.00e+0","2.26e-1","1.56e-2","DCTN1,FLNA,FLNB,MYH10"
"GOTERM_CC_DIRECT","catenin complex","2","53","32","20808","7.70e-2","3.01e-1","24.54","1.00e+0","2.50e-1","3.01e-3","CDH3,CDH1"
"GOTERM_CC_DIRECT","external side of plasma membrane","4","53","402","20808","7.91e-2","3.04e-1","3.91","1.00e+0","2.52e-1","1.91e-2","BCAM,DAG1,ITGA6,GPC4"
"GOTERM_CC_DIRECT","dynein complex","2","53","36","20808","8.62e-2","3.26e-1","21.81","1.00e+0","2.70e-1","3.79e-3","DYNC1H1,DCTN1"
"GOTERM_CC_DIRECT","intermediate filament","3","53","201","20808","9.00e-2","3.35e-1","5.86","1.00e+0","2.77e-1","1.46e-2","KRT19,KRT18,LMNB2"
"GOTERM_CC_DIRECT","microtubule associated complex","2","53","39","20808","9.31e-2","3.41e-1","20.13","1.00e+0","2.82e-1","4.44e-3","DCTN1,PXN"
"GOTERM_CC_DIRECT","axon","4","53","435","20808","9.48e-2","3.42e-1","3.61","1.00e+0","2.83e-1","2.47e-2","DCTN1,ADAM10,MYH10,ACTB"
"GOTERM_CC_DIRECT","podosome","2","53","42","20808","9.99e-2","3.54e-1","18.70","1.00e+0","2.93e-1","5.13e-3","FLNA,VCL"

