"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","glucose homeostasis","3","39","135","19512","2.84e-2","2.53e-1","11.12","1.00e+0","2.36e-1","2.47e-3","FBN2,IGFBP5,FBN1"
"GOTERM_BP_DIRECT","regulation of cell shape","3","39","136","19512","2.88e-2","2.53e-1","11.04","1.00e+0","2.36e-1","2.52e-3","MYH9,FERMT2,PTK2"
"GOTERM_BP_DIRECT","positive regulation of muscle cell differentiation","2","39","16","19512","3.07e-2","2.66e-1","62.54","1.00e+0","2.47e-1","4.59e-4","LAMA1,LAMC1"
"GOTERM_BP_DIRECT","type B pancreatic cell proliferation","2","39","18","19512","3.45e-2","2.88e-1","55.59","1.00e+0","2.68e-1","5.84e-4","IGFBP5,IGFBP3"
"GOTERM_BP_DIRECT","negative regulation of growth","2","39","18","19512","3.45e-2","2.88e-1","55.59","1.00e+0","2.68e-1","5.84e-4","IGFBP5,GPC3"
"GOTERM_BP_DIRECT","positive regulation of tumor necrosis factor-mediated signaling pathway","2","39","19","19512","3.64e-2","2.99e-1","52.66","1.00e+0","2.78e-1","6.52e-4","ADAM17,ADAM10"
"GOTERM_BP_DIRECT","negative regulation of canonical Wnt signaling pathway","3","39","156","19512","3.70e-2","2.99e-1","9.62","1.00e+0","2.78e-1","3.71e-3","LATS1,CDH2,GPC3"
"GOTERM_BP_DIRECT","striated muscle cell differentiation","2","39","20","19512","3.83e-2","3.04e-1","50.03","1.00e+0","2.83e-1","7.23e-4","IGFBP5,CDH2"
"GOTERM_BP_DIRECT","cartilage condensation","2","39","21","19512","4.01e-2","3.14e-1","47.65","1.00e+0","2.92e-1","7.98e-4","COL2A1,COL11A1"
"GOTERM_BP_DIRECT","platelet formation","2","39","24","19512","4.57e-2","3.52e-1","41.69","1.00e+0","3.28e-1","1.04e-3","MFAP2,MYH9"
"GOTERM_BP_DIRECT","cell-substrate adhesion","2","39","26","19512","4.95e-2","3.75e-1","38.49","1.00e+0","3.49e-1","1.23e-3","CDH11,ITGAV"
"GOTERM_BP_DIRECT","positive regulation of vascular associated smooth muscle cell migration","2","39","27","19512","5.13e-2","3.83e-1","37.06","1.00e+0","3.57e-1","1.32e-3","IGFBP5,FAT1"
"GOTERM_BP_DIRECT","focal adhesion assembly","2","39","28","19512","5.32e-2","3.91e-1","35.74","1.00e+0","3.64e-1","1.42e-3","CDH11,FERMT2"
"GOTERM_BP_DIRECT","actomyosin structure organization","2","39","30","19512","5.68e-2","4.06e-1","33.35","1.00e+0","3.78e-1","1.63e-3","MYH9,TRPM7"
"GOTERM_BP_DIRECT","negative regulation of smooth muscle cell proliferation","2","39","30","19512","5.68e-2","4.06e-1","33.35","1.00e+0","3.78e-1","1.63e-3","IGFBP5,IGFBP3"
"GOTERM_BP_DIRECT","negative regulation of protein phosphorylation","2","39","31","19512","5.87e-2","4.13e-1","32.28","1.00e+0","3.85e-1","1.75e-3","IGFBP3,FBLN1"
"GOTERM_BP_DIRECT","limb morphogenesis","2","39","33","19512","6.24e-2","4.33e-1","30.32","1.00e+0","4.03e-1","1.98e-3","FBN2,COL2A1"
"GOTERM_BP_DIRECT","blood vessel morphogenesis","2","39","34","19512","6.42e-2","4.39e-1","29.43","1.00e+0","4.09e-1","2.10e-3","CDH2,COL4A1"
