,0-7d,7-14d,14-30d,30-60d,60-90d,90-120d,120-180d,180-270d,270-365d,365-450d
NID2,0.21840385,0.26296726,0.10511603,0.06317436,0.060857948,0.023071969,0.04265685,0.0035503153,0.0,0.0
ELN,0.02427331,0.10048151,0.13962314,0.21460025,0.25331053,0.088961974,0.3843624,0.46916425,0.055873137,0.63788795
FBN1,1.6161146,1.0687784,0.425124,0.16991146,0.249974,0.15197729,0.27477688,0.10545449,0.0131321065,0.5201229
FBN2,2.7460616,2.520948,0.8385376,0.15421242,0.24297139,0.13777518,0.1919083,0.085074864,0.004075898,0.40076065
EMILIN1,0.10474764,0.13812466,0.0914911,0.05645308,0.11503283,0.10000113,0.083350666,0.08607687,0.012183627,0.43527392
EMILIN2,0.09246554,0.23717968,0.07460425,0.033003457,0.048322767,0.020590167,0.019206764,0.00858777,0.0,0.08185193
MFAP2,2.9551659,2.8398826,1.7640738,0.90041614,0.59836763,0.17717111,0.1710568,0.08291047,0.07454983,0.13475583
MFAP5,0.0014194773,0.0072136493,0.0038234368,0.0030103184,0.0049857395,0.008366401,0.01729289,0.006540258,0.00616199,0.0
ITGA1,0.13835905,0.08239694,0.03712867,0.02625495,0.035400134,0.018534265,0.02967039,0.007309038,0.002195513,0.087301694
ITGA2,0.064811744,0.27445957,0.2950097,0.26412016,0.1713797,0.15652855,0.26909235,0.31594262,0.02691406,0.89500767
ITGA3,0.03271876,0.18379487,0.11077121,0.11777314,0.18065093,0.18842432,0.24908908,0.39945152,0.033035446,0.857192
ITGA4,0.21987684,0.12558572,0.088046245,0.027829358,0.027005939,0.0134681435,0.012492427,0.002891309,0.008318824,0.06341417
ITGA5,0.5129507,0.99748874,0.24514574,0.057102695,0.06870194,0.02803633,0.037097767,0.029008685,0.0033470953,0.7389203
ITGA6,1.7651008,2.8384504,0.86257535,0.3912563,0.43456712,0.33612543,0.5962254,0.802066,0.1887753,2.184232
ITGA7,0.33228472,0.4827853,0.23293869,0.15560333,0.1757808,0.17298901,0.52840513,0.8170596,0.20094632,3.5203152
ITGA8,0.26274547,0.003700833,0.049071252,0.022877928,0.03719276,0.026794191,0.03666168,0.027981274,0.0063829715,0.0
ITGA9,0.21705328,0.021444853,0.14318135,0.041321766,0.08896981,0.058130685,0.06749955,0.010334862,0.008818441,0.42640352
ITGA10,0.017392637,0.020051172,0.047262896,0.055383433,0.04998109,0.061198186,0.07988464,0.033239506,0.0123987375,0.0
ITGA11,0.027589915,0.02989074,0.04005375,0.023579733,0.041223742,0.034641027,0.023560323,0.01773621,0.005914859,0.07543151
ITGAV,1.3108673,1.6018894,0.63766825,0.40208519,0.60076827,0.63441825,1.04793,0.73116535,0.32194242,1.4937336
ITGAL,0.009223666,0.004728545,0.0054049795,0.0025369544,0.0049472083,0.007535567,0.008452327,0.004715688,0.0022148145,0.0
ITGAM,0.0027600648,0.013893054,0.0022182784,0.002283179,0.00213859,0.0038836629,0.0068077175,0.00040280313,0.0,0.10116084
ITGAX,0.0016383395,0.007560028,0.0026040548,0.0014966386,0.0026064874,0.004344997,0.0037418145,0.0020443762,0.001706926,0.0
ITGAD,0.0021694722,0.00040720726,0.00085876894,0.00019169906,0.00041772888,0.00042380998,0.0012573416,0.00011795775,0.0,0.0197354
ITGAE,1.6019266,2.7861457,2.2120059,1.7730011,1.5358956,1.4565762,1.5731795,1.6031901,0.8138529,1.7687151
ITGB1,3.1448603,3.9360328,2.6671052,1.7583151,1.8792065,1.5847018,2.1813579,1.8701805,2.3570547,4.1852736
ITGB2,0.00648723,0.004224888,0.006611664,0.0019420759,0.0028475963,0.00388302,0.0035301012,0.00035526673,0.0,0.0
ITGB3,0.010036016,0.00075666123,0.010033724,0.004145752,0.01210001,0.0097662825,0.01772063,0.0012667123,0.0,0.4400446
ITGB4,0.024822474,0.032627452,0.031072488,0.020537501,0.042893063,0.04127509,0.140719,0.33421713,0.0,1.7266124
ITGB5,1.2001237,1.6914556,0.3898817,0.10500494,0.21040486,0.19017419,0.39714965,0.44233003,0.04669767,3.5394993
ITGB6,0.00082869385,0.010625727,0.009140143,0.021072285,0.014009471,0.007922371,0.013631102,0.021318372,0.0,0.0
