gene_symbol,pct_cells_expressing,mean expression,is_hvg_in_atlas,Category,Subcategory,Matrisome Division,passes_global_filter,max_pct_any_celltype,passes_celltype_filter,top_celltype,top_region,temporal_cv,passes_combined,hvg_passes_combined
RPSA,89.3594634054386,6.5172973,False,ECM Receptors,Laminin Receptors,Matrisome-Associated,True,99.8628257887552,True,PSC,Dorsal telencephalon,0.1436413,True,False
DDR1,34.8502014596444,1.8593615,False,ECM Receptors,Discoidin Domain Receptors,Matrisome-Associated,True,77.02835198950959,True,Astrocyte,Unspecific,0.497474,True,False
DAG1,16.879798574332767,0.8374755,False,ECM Receptors,Dystroglycan Complex,Matrisome-Associated,True,57.75034293552953,True,Astrocyte,Unspecific,0.83005935,True,False
BCAM,6.9046379204899075,0.33373088,False,ECM Receptors,Laminin Receptors,Matrisome-Associated,True,55.46410608139133,True,PSC,Unspecific,0.9536857,True,False
HMMR,6.719387680173226,0.3465074,True,ECM Receptors,Hyaluronan Receptors,N/A (Intracellular),True,55.144032921811984,True,PSC,Unspecific,1.3944501,True,True
CD44,4.686435728893062,0.24258748,True,ECM Receptors,Hyaluronan Receptors,Matrisome-Associated,True,39.86028270283097,True,Astrocyte,Unspecific,2.144927,True,True
DDR2,2.7629395598487902,0.1385188,False,ECM Receptors,Discoidin Domain Receptors,Matrisome-Associated,True,18.176283157104354,True,MC,Ventral midbrain,1.0344847,True,False
LYVE1,0.1049939624235703,0.0050613307,False,ECM Receptors,Hyaluronan Receptors,N/A (Membrane),False,35.41666666666667,True,Microglia,Cerebellum,2.0901778,False,False
TIMP2,27.903317447939557,1.478973,False,ECM Regulators,TIMPs,Matrisome-Associated,True,75.42078601189824,True,Astrocyte,Unspecific,0.46756354,True,False
TIMP1,25.604576584846882,1.4138626,True,ECM Regulators,TIMPs,Matrisome-Associated,True,95.65614997714091,True,MC,Unspecific,0.63359785,True,True
ADAM17,20.90356934306628,1.0605096,False,ECM Regulators,ADAMs (Sheddases),Matrisome-Associated,True,46.822130772748935,True,PSC,Ventral midbrain,0.46290043,True,False
ADAM10,19.741011127586933,0.9993958,False,ECM Regulators,ADAMs (Sheddases),Matrisome-Associated,True,68.2213077274825,True,PSC,Ventral midbrain,0.51828617,True,False
MMP16,12.280622485972716,0.6348195,False,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),Matrisome-Associated,True,40.45645645645785,True,OPC,Dorsal midbrain,0.92937803,True,False
MMP15,8.868233989114923,0.44202548,False,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),Matrisome-Associated,True,50.525834476452815,True,PSC,Dorsal midbrain,0.4021021,True,False
TIMP3,8.69800709145807,0.44711137,True,ECM Regulators,TIMPs,Matrisome-Associated,True,55.43956606284315,True,NC Derivatives,Unspecific,1.3415108,True,True
LOXL1,7.918939464955541,0.39262193,False,ECM Regulators,Crosslinking Enzymes,Matrisome-Associated,True,30.864197530864285,True,PSC,Ventral midbrain,0.42876038,True,False
MMP17,6.142400956064929,0.30740225,False,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),Matrisome-Associated,True,18.632922695999735,True,MC,Ventral midbrain,0.60963726,True,False
MMP2,5.1894353143382945,0.25628754,True,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,True,73.66255144033141,True,PSC,Unspecific,0.8728823,True,True
MMP24,4.795947989860759,0.23735966,False,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),Matrisome-Associated,True,8.330727568220512,True,Ventral Telencephalic Neuron,Ventral midbrain,0.4715602,True,False
ADAMTS1,4.70716342346508,0.23214817,False,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),Matrisome-Associated,True,26.886145404663814,True,PSC,Unspecific,1.4724945,True,False
LOXL3,4.3579554247217756,0.20896281,False,ECM Regulators,Crosslinking Enzymes,Matrisome-Associated,True,14.297410705148007,True,NC Derivatives,Ventral midbrain,1.4714774,True,False
LOX,3.9866077631113557,0.19876795,True,ECM Regulators,Crosslinking Enzymes,Matrisome-Associated,True,18.30414222799506,True,MC,Unspecific,1.6093584,True,True
MMP14,3.678346844925854,0.17992413,False,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),Matrisome-Associated,True,37.500000000000014,True,Microglia,Unspecific,0.79872084,True,False
