gene_symbol,Category,Subcategory,pct_cells_expressing,mean expression,is_hvg_in_atlas,max_pct_any_celltype,top_celltype,top_region,temporal_cv
MMP28,ECM Regulators,Matrix Metalloproteinases,1.2558610803934829,0.060992196,False,6.57937740011406,Astrocyte,Unspecific,1.7247896
BMP7,ECM-Associated Signaling,TGF-β Superfamily,14.304707276404017,0.7243782,False,50.70873342478387,Astrocyte,Unspecific,0.78028756
TGFB2,ECM-Associated Signaling,TGF-β Superfamily,5.743774066993241,0.28837955,True,31.187465752030093,MC,Unspecific,1.2801489
BMP1,ECM-Associated Signaling,TGF-β Superfamily / Procollagen C-proteinase,4.361344148630008,0.20887662,False,17.873886306902524,MC,Unspecific,0.36913443
TGFB1,ECM-Associated Signaling,TGF-β Superfamily,4.24465908872322,0.20307459,False,62.002743484226585,PSC,Unspecific,0.51012397
BMP2,ECM-Associated Signaling,TGF-β Superfamily,1.8412066568096939,0.0884788,False,63.465935070875034,PSC,Thalamus,1.0567216
TGFB3,ECM-Associated Signaling,TGF-β Superfamily,1.42834712732302,0.069116846,False,8.132242810464732,MC,Unspecific,1.6714395
BMP4,ECM-Associated Signaling,TGF-β Superfamily,1.3797754179715458,0.0666712,True,30.315500685871115,PSC,Unspecific,1.3587835
ITGB1,Integrins,Beta Subunits,36.30317331399496,1.9356534,False,94.33013260174076,PSC,Unspecific,0.3596099
ITGAE,Integrins,Alpha Subunits (Leukocyte),32.500008471879674,1.7009203,False,69.09007773205501,PSC,Unspecific,0.2988339
ITGB8,Integrins,Beta Subunits,18.56614054857404,0.9738766,False,48.17182776369574,Astrocyte,Unspecific,0.94859827
ITGAV,Integrins,Alpha Subunits,12.400865705983147,0.61553353,False,38.06070757414533,Astrocyte,Unspecific,0.51910156
ITGA6,Integrins,Alpha Subunits,10.250494471282746,0.5087502,False,49.474165523549246,NC Derivatives,Unspecific,0.8696959
ITGB5,Integrins,Beta Subunits,5.06958744545049,0.23982064,False,66.80384087791681,PSC,Unspecific,1.3266276
ITGA7,Integrins,Alpha Subunits,4.887443535383022,0.23847602,False,29.79614347577747,Astrocyte,Unspecific,1.5506502
ITGA2,Integrins,Alpha Subunits,4.684571930743534,0.23111635,False,15.826532387961626,Dorsal Telencephalic NPC,Unspecific,0.8769773
ITGA3,Integrins,Alpha Subunits,3.3631955214602804,0.16366382,True,17.42112482853212,PSC,Ventral midbrain,1.0342736
ITGA2B,Integrins,Alpha Subunits,2.015556501888229,0.09730777,False,7.453132144490161,PSC,Dorsal midbrain,0.6019864
ITGA5,Integrins,Alpha Subunits,1.7924655112629573,0.083217904,False,69.31870141746883,PSC,Unspecific,1.3075439
ITGA9,Integrins,Alpha Subunits,1.394346930776988,0.06876076,False,14.174668495656068,PSC,Dorsal midbrain,1.193122
ITGB4,Integrins,Beta Subunits,1.0947837372883618,0.052240364,False,15.129912574557613,Astrocyte,Unspecific,2.2208881
LAMC1,Laminins,Gamma Chains,8.58245160618736,0.4188865,False,66.57521719250299,PSC,Unspecific,0.85260755
LAMB2,Laminins,Beta Chains,7.075373126732995,0.34244502,False,35.69940354604023,Astrocyte,Unspecific,1.4055386
LAMB1,Laminins,Beta Chains,6.97478450539031,0.34617257,True,60.17375400091603,PSC,Unspecific,0.9456147
LAMA5,Laminins,Alpha Chains,5.843571986090672,0.28453773,False,25.422953818015365,PSC,Unspecific,0.43887812
