,Cerebellum,Dorsal midbrain,Dorsal telencephalon,Hypothalamus,Medulla,Pons,Thalamus,Unspecific,Ventral midbrain,Ventral telencephalon
COL13A1,0.020912163,0.03348178,0.010587474,0.027767079,0.03775048,0.024273906,0.029655432,0.094959855,0.040079907,0.012444894
COL14A1,0.102979705,0.060801115,0.003808507,0.020738473,0.115322664,0.048140045,0.009850419,0.18192945,0.09320449,0.0065175314
COL15A1,0.012242008,0.021755796,0.010802599,0.012182579,0.012713249,0.013220994,0.010763543,0.079297364,0.02243089,0.013999224
COL16A1,0.0380615,0.041313466,0.13346928,0.04073184,0.06578181,0.048072472,0.04996334,0.20815417,0.08327031,0.046582654
COL17A1,0.029570322,0.034779128,0.0054379837,0.009449564,0.018295215,0.013079618,0.006099098,0.026132684,0.055873293,0.004405089
COL18A1,0.2824325,0.5284269,0.20596455,0.20583582,0.680894,0.33930334,0.6436377,1.1823505,0.769722,0.16570356
COL19A1,0.035269015,0.046222087,0.017434085,0.02319187,0.028944012,0.033716846,0.016903978,0.035584178,0.027838668,0.029909505
COL20A1,0.01870947,0.025459113,0.0093368245,0.015427606,0.019189969,0.018130222,0.0081431735,0.033786837,0.033908438,0.0123823425
COL21A1,0.16811794,0.08081977,0.0042236615,0.046429902,0.08994806,0.045697235,0.07383309,0.18692549,0.27801287,0.0050083944
COL22A1,0.016083283,0.049744394,0.009743489,0.017712608,0.035412163,0.025104236,0.047413874,0.091352016,0.06685831,0.044045653
COL23A1,0.27839652,0.23175016,0.0069471262,0.06621758,0.27645665,0.15986699,0.11750637,0.44125167,0.65831685,0.008870601
COL24A1,0.117330454,0.057616398,0.031503048,0.012947124,0.03487468,0.03835821,0.011083515,0.05135522,0.06096445,0.02033816
COL25A1,0.20517874,0.21865489,0.08859618,0.06826672,0.1208886,0.09861385,0.07163965,0.1668961,0.16531199,0.16136394
COL26A1,0.1770171,0.3124245,0.11122427,0.16539007,0.20492783,0.2564276,0.26420966,0.3144858,0.3425751,0.19891232
COL27A1,0.42683378,0.276046,0.0773262,0.085987054,0.2919597,0.19309896,0.12023202,0.47058988,0.4208228,0.07479675
COL28A1,0.11394158,0.15046926,0.005849405,0.02389121,0.047815397,0.04859464,0.017929118,0.05608352,0.13360235,0.008574152
LAMA1,0.48015475,0.66343844,0.11095865,0.119224936,0.24814534,0.28867677,0.21368936,0.5629391,0.37794667,0.1803639
LAMA2,0.117226444,0.08493621,0.007198433,0.053932484,0.1642226,0.0760437,0.07825773,0.20342973,0.15480582,0.010249342
LAMA3,0.09085774,0.07387284,0.031066405,0.02371289,0.046474297,0.024858054,0.018404456,0.04473313,0.08531501,0.021636
