,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,EC,Glioblast,MC,Microglia,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,PSC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
EMILIN2,0.020061867,0.037808977,0.028053313,0.04064548,0.01084773,0.0018879948,0.019383801,0.14654419,1.0048176,0.06807223,0.09416536,0.07936391,0.02076069,0.050693586,0.43332237,0.02005526,0.0064319023
MFAP2,0.038436905,1.901888,1.0137882,1.2753695,0.16374949,0.103428416,0.19485556,1.2806736,0.11650047,0.6267003,2.3832126,1.2282121,0.34706166,0.032449424,3.948933,0.7320874,0.12066857
MFAP5,0.009943044,0.0032429888,0.0030960473,0.0018328365,0.003453876,0.004134185,0.006012646,0.08305902,0.0,0.018864809,0.0047065355,0.0063578314,0.0037534595,0.00344692,0.0144519545,0.0061330963,0.0037643262
ITGA1,0.016010426,0.034965735,0.0078116935,0.010756791,0.011990357,0.0057312613,0.01536741,0.20392944,0.0,0.4266977,0.07610152,0.031092428,0.019664425,0.018434118,0.1056628,0.03153997,0.012628731
ITGA2,0.60160077,0.17100267,0.5302692,0.80937934,0.044573653,0.024285752,0.6738923,0.086501524,0.0,0.2412807,0.22910939,0.16033354,0.023739653,0.09140132,0.07466153,0.45300457,0.034103986
ITGA3,0.60442734,0.1642779,0.055986207,0.05767209,0.1592712,0.039455574,0.3082642,0.42097703,0.049745522,0.239156,0.09325358,0.09594924,0.20306645,0.09918823,0.68561184,0.067120954,0.16699
ITGA4,0.003967935,0.011757028,0.011697264,0.016974583,0.005544876,0.01929569,0.00434751,0.13182548,0.98749626,0.586674,0.15082702,0.04239012,0.048230983,0.009420864,0.0307129,0.010429329,0.001369842
ITGA5,0.09555545,0.10124567,0.012337802,0.031558022,0.0031456654,0.005191383,0.056158297,0.33040842,0.29526305,0.19393489,0.51689136,0.14675735,0.027100038,0.023925215,3.1461334,0.08735643,0.0060764262
ITGA6,1.85536,0.79319584,0.29747725,0.61122507,0.077157065,0.4327744,1.0378742,0.6105494,0.05205083,2.177484,1.5503271,0.63209397,0.2095828,0.34058473,2.1271317,0.8550758,0.28557083
ITGA7,1.456808,0.293676,0.15948701,0.11989971,0.111021146,1.0269692,0.7236526,0.23861694,0.04601873,0.51229113,0.35333034,0.22890876,0.17514242,0.66130173,0.42127207,0.30195284,0.114899546
ITGA8,0.01944814,0.0065847985,0.015673745,0.010319191,0.021534137,0.012626985,0.020091582,0.27981684,0.0,0.09676581,0.09527229,0.034027856,0.028697535,0.009963824,0.28073534,0.008391892,0.01910423
ITGA9,0.04116759,0.03310763,0.025001395,0.010952142,0.03905142,0.0020054097,0.033075698,0.2356861,0.31132644,0.13739532,0.1392201,0.13840999,0.094981976,0.097637124,0.5554475,0.032214563,0.043890003
ITGA10,0.06145677,0.018137768,0.023768555,0.028080355,0.06323767,0.005748217,0.046006292,0.09938105,0.0,0.031267233,0.021542145,0.06784899,0.06800809,0.093073525,0.039584916,0.044346794,0.089227006
ITGA11,0.018499145,0.012032302,0.018986927,0.01852427,0.019932544,0.035040226,0.016840182,0.27473667,0.09661021,0.024354698,0.05626458,0.030622303,0.024991965,0.027538104,0.06646196,0.028510647,0.014747982
ITGAV,1.8648785,0.5100693,0.5398301,0.56077147,0.5099893,0.21266425,1.2885699,0.9551555,0.56988794,1.2873904,1.1126287,0.6050458,0.22468607,1.2736593,0.99895966,0.93091995,0.29414105
ITGAL,0.008697304,0.0010260672,0.0036515407,0.0027735746,0.0055462117,0.0020949203,0.0052426727,0.0057235276,0.7459295,0.0026327553,0.0058364146,0.008340289,0.0040676435,0.003334438,0.0048152125,0.0036557505,0.005225734
ITGAM,0.0050082337,0.0016355271,0.00032115696,0.0016473677,0.0031985994,0.0042363154,0.0031644697,0.003907113,1.1587894,0.0011171444,0.003287986,0.0038047894,0.0027503497,0.0035143557,0.0034910596,0.0024624383,0.0056605376
ITGAX,0.0033375188,0.0028371178,0.0015840605,0.0017454434,0.0026725344,0.0,0.0023056266,0.0040422175,0.21271215,0.057439633,0.002568057,0.004455779,0.0009147839,0.0018496811,0.0057771634,0.00080689555,0.0007582924
ITGAD,0.00055684353,7.0577225e-05,0.00036901602,7.373831e-05,0.0002238648,0.0,0.00013621504,0.002281977,0.0495031,0.001045024,0.000670996,0.0014299133,0.00058204215,0.00082992384,0.0018216259,8.655952e-05,0.00019001841
ITGAE,2.239624,1.7410996,2.164907,1.8631821,1.3247646,1.8142377,2.038774,1.9317548,1.411654,2.2105408,2.2442906,1.9277092,1.567742,1.98769,3.0039284,2.3636127,1.3797405
ITGB1,2.992693,2.0092645,3.0968213,1.8706183,1.1861942,2.3563719,2.77756,3.89877,2.5600944,4.8660197,3.4174814,2.4035764,1.4618062,2.5042224,4.881252,2.7876935,1.3449634
ITGB2,0.0021576143,0.00078950246,0.0007230792,0.00052303076,0.00233562,0.0,0.0018393309,0.0085939355,4.733671,0.003035759,0.005677896,0.006069431,0.003845254,0.0013042281,0.051568683,0.0009184016,0.0018351225
ITGB3,0.009992864,0.0028631354,0.0013534961,0.0010313272,0.005730139,0.0,0.00603558,0.034702186,0.0,0.012814835,0.010341793,0.022605183,0.008717087,0.015335352,0.0031978542,0.0026066378,0.0041250037
ITGB4,0.7258754,0.067482285,0.0052326,0.015959617,0.00533553,0.11204497,0.14387809,0.1615089,0.043408,0.11919859,0.03800741,0.06665923,0.009114002,0.019878408,0.0661466,0.015893599,0.0059106923
ITGB5,1.2931397,0.38806984,0.011672304,0.035654947,0.017461868,0.024802608,0.75464773,0.8904614,0.9883813,0.5892972,0.98598903,0.33321813,0.03229588,0.29684064,2.902725,0.16850975,0.034423053
ITGB6,0.031252068,0.03023901,0.0010720235,0.0057123564,0.0029143733,0.011994142,0.018898679,0.036512442,0.054061078,0.008758265,0.0065861223,0.042893723,0.013669744,0.0023927721,0.006559211,0.003277945,0.0035123292
ITGB7,0.018610435,0.015323201,0.00052192155,0.0019514586,0.0021013566,0.0015671208,0.006255212,0.027964061,1.6077877,0.0103758,0.004757418,0.01988382,0.0034623023,0.0028021308,0.013479913,0.0013835069,0.0011504395
ITGB8,2.4775789,0.51453495,0.93649286,1.0694778,0.40999615,0.45308796,1.8700848,2.459366,0.045817576,1.2711656,1.6368945,1.593722,0.49730387,2.0499966,0.33759734,1.4323621,0.48595133
